,LEAID,NAME,Graduation Rate,MZIP
3529,2611700,Deckerville Community School District,0.913,48427
3530,2611910,Delton Kellogg Schools,0.7537,49046
3531,2611970,DeTour Area Schools,0.7,49725
3532,2612030,Dexter Community School District,0.9681,48130
3533,2612150,Dowagiac Union School District,0.7515999999999999,49047
3534,2612240,Dryden Community Schools,0.9608,48428
3535,2612300,Dundee Community Schools,0.9,48131
3536,2612330,Durand Area Schools,0.8548,48429
3537,2612420,East China School District,0.9269,48054
3538,2612480,East Grand Rapids Public Schools,0.9438,49506
3539,2612540,East Jackson Community Schools,0.6667000000000001,49202
3540,2612560,East Jordan Public Schools,0.75,49727
3541,2612600,East Lansing School District,0.9338,48823
3542,2612690,Eaton Rapids Public Schools,0.8234999999999999,48827
3543,2612810,Eau Claire Public Schools,0.7879,49111
3544,2612930,Ecorse Public Schools,0.6570999999999999,48229
3545,2612960,Montabella Community Schools,0.8158,48829
3546,2612990,Edwardsburg Public Schools,0.9594,49112
3547,2613050,Elk Rapids Schools,0.899,49629
3548,2613090,Elkton-Pigeon-Bay Port Laker Schools,0.8065000000000001,48755
3549,2613110,Ellsworth Community School,0.9545,49729
3550,2613500,Escanaba Area Public Schools,0.8362,49829
3551,2613530,Essexville-Hampton Public Schools,0.9449,48732
3552,2613560,Evart Public Schools,0.8852,49631
3553,2614070,Farmington Public School District,0.9092,48336
3554,2614100,Farwell Area Schools,0.785,48622
3555,2614230,Fennville Public Schools,0.7406999999999999,49408
3556,2614250,Fenton Area Public Schools,0.9078,48430
3557,2614280,Ferndale Public Schools,0.7289,48220
3558,2614460,Fitzgerald Public Schools,0.7759999999999999,48091
3559,2614520,Flint School District of the City of,0.6677,48503
3560,2614550,Flushing Community Schools,0.8475,48433
3561,2614570,Forest Area Community Schools,0.8723000000000001,49633
3562,2614610,Forest Hills Public Schools,0.9608,49546
3563,2614690,Gwinn Area Community Schools,0.7037,49841
3564,2614700,Fowler Public Schools,0.9556,48835
3565,2614730,Fowlerville Community Schools,0.8654000000000001,48836
3566,2614760,Frankenmuth School District,0.971,48734
3567,2614790,Frankfort-Elberta Area Schools,0.9574,49635
3568,2614820,Fraser Public Schools,0.9413,48026
3569,2615060,Freeland Community School District,0.9379,48623
3570,2615150,Fremont Public School District,0.7462000000000001,49412
3571,2615390,Fruitport Community Schools,0.7983,49415
3572,2615420,Fulton Schools,0.5652,48856
3573,2615450,Galesburg-Augusta Community Schools,0.7746,49053
3574,2615540,Garden City Public Schools,0.6541,48135
3575,2615600,Engadine Consolidated Schools,0.54,49827
3576,2615730,Gaylord Community Schools,0.8341,49735
3577,2615750,Genesee School District,0.7631999999999999,48437
3578,2615830,Roscommon Area Public Schools,0.878,48653
3579,2615870,Gibraltar School District,0.872,48183
3580,2615970,Gladstone Area Schools,0.6792,49837
3581,2615990,Gladwin Community Schools,0.84,48624
3582,2616020,Glen Lake Community Schools,0.9492,49664
3583,2616050,Gobles Public School District,0.7536,49055
3584,2616080,Godfrey-Lee Public Schools,0.8253,49509
3585,2616110,Godwin Heights Public Schools,0.8462000000000001,49548
3586,2616320,Goodrich Area Schools,0.9492,48438
3587,2616350,Grand Blanc Community Schools,0.9051,48439
3588,2616380,Grand Haven Area Public Schools,0.7933,49417
3589,2616410,Grand Ledge Public Schools,0.9515,48837
3590,2616440,Grand Rapids Public Schools,0.7125,49501
3591,2616470,Grandville Public Schools,0.9422,49418
3592,2616500,Grant Public School District,0.8582,49327
3593,2616830,Grass Lake Community Schools,0.8332999999999999,49240
3594,2617160,Greenville Public Schools,0.8893000000000001,48838
3595,2617220,Grosse Ile Township Schools,0.9771,48138
3596,2617250,Gull Lake Community Schools,0.8776999999999999,49083
3597,2617370,Hale Area Schools,0.9583,48739
3598,2617400,Hamilton Community Schools,0.871,49419
3599,2617520,Hamtramck School District of the City of,0.7712,48212
3600,2617550,Hancock Public Schools,0.7818,49930
3601,2617640,Hanover-Horton School District,0.7667,49246
3602,2617700,Harbor Springs School District,0.9706,49740
3603,2617730,Harper Creek Community Schools,0.9602,49014
3604,2617760,Harper Woods The School District of the City of,0.5418999999999999,48225
3605,2617820,Harrison Community Schools,0.8868,48625
3606,2617860,Hart Public School District,0.8370000000000001,49420
3607,2617880,Hartford Public Schools,0.7791,49057
3608,2617910,Hartland Consolidated Schools,0.9383,48843
3609,2617940,Haslett Public Schools,0.9585,48840
3610,2617970,Hastings Area School District,0.8220999999999999,49058
3611,2618030,Hazel Park School District of the City of,0.472,48030
3612,2618180,Hemlock Public School District,0.71,48626
3613,2618270,Hesperia Community Schools,0.7922,49421
3614,2618360,Hillman Community Schools,0.9143,49746
3615,2618390,Hillsdale Community Schools,0.8626,49242
3616,2618420,Holland City School District,0.8804000000000001,49423
3617,2618450,Holly Area School District,0.9,48442
3618,2618480,Holt Public Schools,0.8181999999999999,48842
3619,2618510,Holton Public Schools,0.6901,49425
3620,2618540,Homer Community School District,0.9143,49245
3621,2618570,Hopkins Public Schools,0.936,49328
3622,2618600,Houghton Lake Community Schools,0.6378,48629
3623,2618720,Howell Public Schools,0.8906999999999999,48843
3624,2618810,Hudson Area Schools,0.7524,49247
3625,2618840,Hudsonville Public School District,0.9317,49426
3626,2618930,Huron School District,0.9079,48164
3627,2618990,Huron Valley Schools,0.9109,48357
3628,2619050,Ida Public School District,0.9853,48140
3629,2619100,Imlay City Community Schools,0.9101,48444
3630,2619170,Inland Lakes Schools,0.8852,49749
3631,2619250,Ionia Public Schools,0.8009999999999999,48846
3632,2619410,Iron Mountain Public Schools,0.6698999999999999,49801
3633,2619470,Ironwood Area Schools of Gogebic County,0.7826000000000001,49938
3634,2619530,Ishpeming Public School District No. 1,0.7917000000000001,49849
3635,2619580,Ithaca Public Schools,0.8273,48847
3636,2619620,Jackson Public Schools,0.5896,49201
3637,2619800,Jefferson Schools (Monroe),0.8726,48162
3638,2619830,Jenison Public Schools,0.9544,49428
3639,2619890,Johannesburg-Lewiston Area Schools,0.9123,49751
3640,2619920,Jonesville Community Schools,0.7786,49250
3641,2619950,Kalamazoo Public Schools,0.7524,49008
3642,2620010,Kaleva Norman Dickson School District,0.8571,49619
3643,2620050,Kalkaska Public Schools,0.6978,49646
3644,2620070,Kearsley Community School District,0.8249,48506
3645,2620160,Kelloggsville Public Schools,0.7553,49548
3646,2620280,Kenowa Hills Public Schools,0.878,49544
3647,2620310,Kent City Community Schools,0.954,49330
3648,2620340,Kentwood Public Schools,0.7805,49508
3649,2620380,Kingsley Area Schools,0.8715999999999999,49649
3650,2620400,Kingston Community School District,0.7308,48741
3651,2620550,Laingsburg Community Schools,0.9174,48848
3652,2620610,Lake City Area School District,0.8673000000000001,49651
3653,2620670,Lake Fenton Community Schools,0.9675,48430
3654,2620700,Lake Linden-Hubbell School District,0.7948999999999999,49945
3655,2620730,Lake Orion Community Schools,0.9519,48362
3656,2620820,Lakeshore School District (Berrien),0.9246,49127
3657,2620850,Lakeview Sch. District (Calhoun),0.9228,49015
3658,2620880,Lakeview Public Schools (Macomb),0.9524,48081
3659,2620910,Lakeview Community Schools (Montcalm),0.8332999999999999,48850
3660,2620940,LakeVille Community School District,0.8304,48463
3661,2620980,Lakewood Public Schools,0.9143,48897
3662,2621120,Lamphere Public Schools,0.8756999999999999,48071
3663,2621150,Lansing Public School District,0.6426999999999999,48933
3664,2621180,Lapeer Community Schools,0.85,48446
3665,2621210,Lawrence Public Schools,0.85,49064
3666,2621240,Lawton Community School District,0.8812000000000001,49065
3667,2621390,Leland Public School District,0.9286,49654
3668,2621420,Les Cheneaux Community Schools,0.9091,49719
3669,2621450,Leslie Public Schools,0.8952,49251
3670,2621570,Lincoln Consolidated School District,0.872,48197
3671,2621600,Lincoln Park School District of the City of,0.8608,48146
3672,2621690,Linden Community Schools,0.9375,48451
3673,2621750,Litchfield Community Schools,0.875,49252
3674,2621810,Alanson Public Schools,0.6667000000000001,49706
3675,2621840,Livonia Public Schools School District,0.926,48154
3676,2621870,L'Anse Creuse Public Schools,0.8608,48036
3677,2622050,Lowell Area Schools,0.9197,49331
3678,2622200,Ludington Area School District,0.8933,49431
3679,2622230,Mackinac Island Public Schools,1.0,49757
3680,2622260,Mackinaw City Public Schools,0.9167,49701
3681,2622290,Madison District Public Schools,0.8175,48071
3682,2622320,Madison School District (Lenawee),0.8553000000000001,49221
3683,2622350,Mancelona Public Schools,0.8906000000000001,49659
3684,2622380,Manchester Community Schools,0.8256,48158
3685,2622410,Manistee Area Public Schools,0.84,49660
3686,2622470,Manistique Area Schools,0.9444,49854
3687,2622500,Manton Consolidated Schools,0.9383,49663
3688,2622620,Maple Valley Schools,0.7742,49096
3689,2622740,Marcellus Community Schools,0.9322,49067
3690,2622800,Marion Public Schools,0.88,49665
3691,2622860,Marlette Community Schools,0.8929,48453
3692,2622970,Marshall Public Schools,0.6185,49068
3693,2622980,Martin Public Schools,0.9333,49070
3694,2623040,Marysville Public Schools,0.9742,48040
3695,2623070,Mason Public Schools (Ingham),0.9206,48854
3696,2623100,Mason Consolidated Schools (Monroe),0.9398,48133
3697,2623130,Mason County Central Schools,0.8692,49454
3698,2623160,Mason County Eastern Schools,0.9444,49405
3699,2623250,Mattawan Consolidated School,0.925,49071
3700,2623280,Mayville Community School District,0.6667000000000001,48744
3701,2623310,McBain Rural Agricultural Schools,0.9,49657
3702,2623460,Melvindale-North Allen Park Schools,0.9307,48122
3703,2623490,Memphis Community Schools,0.8667,48041
3704,2623520,Mendon Community School District,0.8723000000000001,49072
3705,2623550,Menominee Area Public Schools,0.82,49858
3706,2623580,Meridian Public Schools,0.8925,48657
3707,2623610,Merrill Community Schools,0.5472,48637
3708,2623670,Mesick Consolidated Schools,0.8043,49668
3709,2623790,Michigan Center School District,0.8190000000000001,49254
3710,2623820,Midland Public Schools,0.9302,48640
3711,2623830,Mid Peninsula School District,0.8181999999999999,49880
3712,2623850,Milan Area Schools,0.8458,48160
3713,2623910,Millington Community Schools,0.9314,48746
3714,2624000,Mio-AuSable Schools,0.8571,48647
3715,2624120,Mona Shores Public School District,0.9512,49441
3716,2624150,Monroe Public Schools,0.8534999999999999,48162
3717,2624180,Montague Area Public Schools,0.8723000000000001,49437
3718,2624420,Montrose Community Schools,0.7,48457
3719,2624570,Morenci Area Schools,0.8308,49256
3720,2624600,Morley Stanwood Community Schools,0.9184,49336
3721,2624630,Morrice Area Schools,0.6829000000000001,48857
3722,2624690,Mount Clemens Community School District,0.6349,48043
3723,2624720,Mt. Morris Consolidated Schools,0.5905,48458
3724,2624750,Mt. Pleasant City School District,0.7049,48858
3725,2624810,Munising Public Schools,0.75,49862
3726,2624840,Muskegon Public Schools of the City of,0.7831999999999999,49440
3727,2624960,Napoleon Community Schools,0.8879,49261
3728,2625020,Negaunee Public Schools,0.9545,49866
3729,2625140,New Buffalo Area Schools,0.7931,49117
3730,2625230,New Haven Community Schools,0.7212000000000001,48048
3731,2625290,New Lothrop Area Public Schools,1.0,48460
3732,2625320,Newaygo Public School District,0.8468000000000001,49337
3733,2625350,Tahquamenon Area Schools,0.9111,49868
3734,2625400,NICE Community School District,0.8875,49849
3735,2625560,Niles Community Schools,0.6869,49120
3736,2625650,North Adams-Jerome Public Schools,0.8276,49262
3737,2625680,North Branch Area Schools,0.8894,48461
3738,2625740,Grosse Pointe Public Schools,0.9493,48230
3739,2625780,North Huron School District,0.9459,48445
3740,2625800,North Muskegon Public Schools,0.987,49445
3741,2625920,Northport Public School District,0.9375,49670
3742,2625950,Northview Public Schools,0.8395999999999999,49525
3743,2625980,Northville Public Schools,0.9713,48167
3744,2626010,Northwest Community Schools,0.8578,49201
3745,2626040,Norway-Vulcan Area Schools,1.0,49870
3746,2626130,Novi Community School District,0.953,48374
3747,2626190,Oak Park School District of the City of,0.6146,48237
3748,2626220,Oakridge Public Schools,0.7717,49442
3749,2626280,Okemos Public Schools,0.9536,48864
3750,2626370,Olivet Community Schools,0.9242,49076
3751,2626400,Onaway Area Community School District,0.9608,49765
3752,2626490,Onekama Consolidated Schools,0.9,49675
3753,2626520,Onsted Community Schools,0.8332999999999999,49265
3754,2626550,Ontonagon Area School District,0.9355,49953
3755,2626760,Orchard View Schools,0.4800999999999999,49442
3756,2626940,Dollar Bay-Tamarack City Area  K-12 School,0.8621,49922
3757,2626970,Oscoda Area Schools,0.9043,48750
3758,2627060,Otsego Public Schools,0.9451,49078
3759,2627150,Ovid-Elsie Area Schools,0.9,48831
3760,2627180,Owendale-Gagetown Area School District,0.7895,48754
3761,2627210,Owosso Public Schools,0.8576999999999999,48867
3762,2627240,Oxford Community Schools,0.9172,48371
3763,2627420,Parchment School District,0.8067,49004
3764,2627660,Paw Paw Public School District,0.836,49079
3765,2627690,Peck Community School District,0.9091,48466
3766,2627720,Pellston Public Schools,0.8611,49769
3767,2627810,Pennfield Schools,0.908,49017
3768,2627840,Pentwater Public School District,0.8571,49449
3769,2627900,Perry Public Schools,0.7913,48872
3770,2627930,Public Schools of Petoskey,0.9191,49770
3771,2627960,Pewamo-Westphalia Community Schools,0.95,48894
3772,2628020,Pickford Public Schools,0.8,49774
3773,2628140,Pinckney Community Schools,0.8072,48169
3774,2628170,Pinconning Area Schools,0.7940999999999999,48650
3775,2628200,Pine River Area Schools,0.9241,49655
3776,2628500,Pittsford Area Schools,0.8431000000000001,49271
3777,2628530,Plainwell Community Schools,0.8373999999999999,49080
3778,2628560,Plymouth-Canton Community Schools,0.9037,48170
3779,2628740,Pontiac City School District,0.6,48342
3780,2628830,Port Huron Area School District,0.7793000000000001,48060
3781,2628890,Houghton-Portage Township School District,0.9091,49931
3782,2628950,Portage Public Schools,0.9113,49002
3783,2629120,Portland Public Schools,0.7770999999999999,48875
3784,2629130,Posen Consolidated School District No. 9,0.8695999999999999,49776
3785,2629160,Potterville Public Schools,0.8181999999999999,48876
3786,2629220,North Central Area Schools,0.8889,49874
3787,2629250,Quincy Community Schools,0.6629,49082
3788,2629340,Rapid River Public Schools,0.4871999999999999,49878
3789,2629370,Ravenna Public Schools,0.8976999999999999,49451
3790,2629400,Reading Community Schools,0.8387,49274
3791,2629460,Redford Union Schools District No. 1,0.5876,48240
3792,2629490,Reed City Area Public Schools,0.8946999999999999,49677
3793,2629520,Reese Public Schools,0.8824,48757
3794,2629540,Reeths-Puffer Schools,0.8495,49445
3795,2629580,Republic-Michigamme Schools,1.0,49879
3796,2629670,Richmond Community Schools,0.8867,48062
3797,2629760,River Rouge School District of the City of,0.7841,48218
3798,2629790,River Valley School District,0.7659999999999999,49128
3799,2629910,Riverview Community School District,0.9008,48193
3800,2629940,Rochester Community School District,0.9681,48307
3801,2630030,Rockford Public Schools,0.9308,49341
3802,2630060,Rogers City Area Schools,0.9512,49779
3803,2630090,Romeo Community Schools,0.8993000000000001,48065
3804,2630120,Romulus Community Schools,0.6857,48174
3805,2630210,Roseville Community Schools,0.8924,48066
3806,2630300,Royal Oak Schools,0.8445999999999999,48073
3807,2630360,Rudyard Area Schools,0.8974,49780
3808,2630390,Saginaw School District of the City of,0.794,48607
3809,2630450,Saginaw Township Community Schools,0.7965000000000001,48608
3810,2630480,North Dickinson County Schools,0.9,49831
3811,2630660,Saline Area Schools,0.9543,48176
3812,2630780,Sand Creek Community Schools,0.9538,49279
3813,2630840,Sandusky Community School District,0.8946999999999999,48471
3814,2630930,Saranac Community Schools,0.8475,48881
3815,2630960,Saugatuck Public Schools,0.9589,49406
3816,2630990,Sault Ste. Marie Area Schools,0.8412999999999999,49783
3817,2631020,Schoolcraft Community Schools,0.8632,49087
3818,2631320,Shelby Public Schools,0.7767000000000001,49455
3819,2631380,Shepherd Public Schools,0.8291,48883
3820,2632220,South Lake Schools,0.9618,48080
3821,2632250,South Lyon Community Schools,0.9406,48178
3822,2632280,South Redford School District,0.9423,48239
3823,2632300,South Haven Public Schools,0.7375,49090
3824,2632310,Southfield Public School District,0.9043,48033
3825,2632340,Southgate Community School District,0.7156999999999999,48195
3826,2632370,Sparta Area Schools,0.8883,49345
3827,2632550,Spring Lake Public Schools,1.0,49456
3828,2632610,Springport Public Schools,0.8649,49284
3829,2632640,St. Charles Community Schools,0.7067,48655
3830,2632670,Lake Shore Public Schools (Macomb),0.7902,48081
3831,2632820,St. Johns Public Schools,0.8996,48879
3832,2632850,St. Joseph Public Schools,0.9453,49085
3833,2632880,St. Louis Public Schools,0.9706,48880
3834,2632910,West Iron County Public Schools,0.9643,49935
3835,2632940,Standish-Sterling Community Schools,0.9126,48658
3836,2633000,Stephenson Area Public Schools,1.0,49887
3837,2633030,Stockbridge Community Schools,0.8559,49285
3838,2633090,Sturgis Public Schools,0.9291,49091
3839,2633120,Summerfield Schools,0.9355,49270
3840,2633360,Suttons Bay Public Schools,0.5735,49682
3841,2633410,Swan Valley School District,0.8876000000000001,48609
3842,2633420,Swartz Creek Community Schools,0.8227,48473
3843,2633510,Tawas Area Schools,0.9184,48763
3844,2633540,Taylor School District,0.664,48180
3845,2633720,Tecumseh Public Schools,0.8654999999999999,49286
3846,2633750,Tekonsha Community Schools,0.6470999999999999,49092
3847,2633810,Thornapple Kellogg School District,0.9174,49333
3848,2633840,Three Rivers Community Schools,0.8506,49093
3849,2633870,Traverse City Area Public Schools,0.8299,49686
3850,2633900,Trenton Public Schools,0.9427,48183
3851,2633930,Tri County Area Schools,0.8378,49343
3852,2634260,Troy School District,0.9049,48098
3853,2634380,Ubly Community Schools,0.9859,48475
3854,2634410,Union City Community Schools,0.8625,49094
3855,2634440,Unionville-Sebewaing Area S.D.,0.9355,48759
3856,2634470,Utica Community Schools,0.9292,48312
3857,2634560,Van Buren Public Schools,0.9128,48111
3858,2634620,Vanderbilt Area Schools,0.0,49795
3859,2634650,Vandercook Lake Public Schools,0.7692,49203
3860,2634680,Van Dyke Public Schools,0.7418,48089
3861,2634710,Vassar Public Schools,0.875,48768
3862,2634920,Vestaburg Community Schools,0.9167,48891
3863,2634950,Vicksburg Community Schools,0.8169,49097
3864,2635010,Wakefield-Marenisco School District,0.95,49968
3865,2635040,Waldron Area Schools,0.7917000000000001,49288
3866,2635130,Walkerville Public Schools,0.8125,49459
3867,2635160,Walled Lake Consolidated Schools,0.9217,48390
3868,2635190,Warren Consolidated Schools,0.8183,48093
3869,2635220,Warren Woods Public Schools,0.8729,48089
3870,2635310,Waterford School District,0.8534999999999999,48328
3871,2635340,Watersmeet Township School District,0.8889,49969
3872,2635460,Watervliet School District,0.8112999999999999,49098
3873,2635520,Waverly Community Schools,0.9173,48917
3874,2635550,Wayland Union Schools,0.8853,49348
3875,2635730,Webberville Community Schools,0.8205,48892
3876,2635820,West Bloomfield School District,0.9109,48324
3877,2635850,West Branch-Rose City Area Schools,0.9071,48661
3878,2635910,West Ottawa Public School District,0.9062,49424
3879,2635940,Western School District,0.7603,49269
3880,2635970,Westwood Heights Schools,0.4577,48504
3881,2636060,White Cloud Public Schools,0.8332999999999999,49349
3882,2636120,White Pigeon Community Schools,0.9298,49099
3883,2636240,Whitefish Township Schools,0.0,49768
3884,2636270,Whiteford Agricultural School District of the Counties of Lenawee and Monroe,0.9342,49267
3885,2636300,Whitehall District Schools,0.9162,49461
3886,2636330,Whitmore Lake Public School District,0.8861,48189
3887,2636390,Whittemore-Prescott Area Schools,0.8571,48770
3888,2636420,Williamston Community Schools,0.96,48895
3889,2636480,Wolverine Community School District,0.8889,49799
3890,2636485,Woodhaven-Brownstown School District,0.7587,48183
3891,2636540,Wyandotte School District of the City of,0.7818,48192
3892,2636570,Wyoming Public Schools,0.7569,49519
3893,2636600,Yale Public Schools,0.927,48097
3894,2636630,Ypsilanti Community Schools,0.5978,48197
3895,2636660,Zeeland Public Schools,0.9163,49464
3896,2680240,Charlevoix-Emmet ISD,0.25,49720
3897,2680480,Hillsdale ISD,0.1110999999999999,49242
3898,2680830,Montcalm Area ISD,0.1,48888
3899,2680985,Van Buren ISD,0.0588,49064
3900,2680990,Washtenaw ISD,0.0713999999999999,48106
3901,3100002,DAVID CITY PUBLIC SCHOOLS,0.92,68632
3902,3100003,EAST BUTLER PUBLIC SCHOOLS,0.93,68626
3903,3100004,LAUREL-CONCORD-COLERIDGE SCHOOL,0.89,68745
3904,3100006,WEST POINT PUBLIC SCHOOLS,0.96,68788
3905,3100008,WISNER-PILGER PUBLIC SCHOOLS,1.0,68791
3906,3100010,ANSELMO-MERNA PUBLIC SCHOOLS,1.0,68856
3907,3100011,BROKEN BOW PUBLIC SCHOOLS,0.93,68822
3908,3100012,CALLAWAY PUBLIC SCHOOLS,1.0,68825
3909,3100015,CAMBRIDGE PUBLIC SCHOOLS,1.0,69022
3910,3100016,GRAND ISLAND PUBLIC SCHOOLS,0.84,68802
3911,3100018,WAUNETA-PALISADE PUBLIC SCHS,0.93,69045
3912,3100021,WAVERLY SCHOOL DISTRICT 145,0.98,68462
3913,3100022,NORTH PLATTE PUBLIC SCHOOLS,0.9,69103
3914,3100023,MAXWELL PUBLIC SCHOOLS,1.0,69151
3915,3100024,SUTHERLAND PUBLIC SCHOOLS,0.93,69165
3916,3100025,ELKHORN VALLEY SCHOOLS,0.86,68781
3917,3100029,SUPERIOR PUBLIC SCHOOLS,0.94,68978
3918,3100034,ASHLAND-GREENWOOD PUBLIC SCHS,0.93,68003
3919,3100041,STANTON COMMUNITY SCHOOLS,0.97,68779
3920,3100046,KEARNEY WEST HIGH SCHOOL,0.53,68845
3921,3100047,PINE RIDGE JOB CORPS,0.24,69337
3922,3100059,UNIVERSITY OF NEBRASKA HIGH SCHOOL,0.37,68588
3923,3100065,FRANKLIN PUBLIC SCHOOLS,0.93,68939
3924,3100066,SILVER LAKE PUBLIC SCHOOLS,1.0,68973
3925,3100070,AMHERST PUBLIC SCHOOLS,1.0,68812
3926,3100071,TEKAMAH-HERMAN COMMUNITY SCHS,0.93,68061
3927,3100072,LEYTON PUBLIC SCHOOLS,1.0,69131
3928,3100076,SCRIBNER-SNYDER COMMUNITY SCHS,1.0,68057
3929,3100077,DUNDY CO STRATTON PUBLIC SCHS,0.96,69021
3930,3100080,ALMA PUBLIC SCHOOLS,1.0,68920
3931,3100085,ST PAUL PUBLIC SCHOOLS,0.95,68873
3932,3100088,NORRIS SCHOOL DIST 160,0.98,68358
3933,3100089,PALMER PUBLIC SCHOOLS,1.0,68864
3934,3100090,BAYARD PUBLIC SCHOOLS,1.0,69334
3935,3100091,FULLERTON PUBLIC SCHOOLS,1.0,68638
3936,3100095,CRETE PUBLIC SCHOOLS,0.82,68333
3937,3100096,FRIEND PUBLIC SCHOOLS,1.0,68359
3938,3100097,MORRILL PUBLIC SCHOOLS,0.96,69358
3939,3100098,GERING PUBLIC SCHOOLS,0.91,69341
3940,3100099,CENTENNIAL PUBLIC SCHOOLS,1.0,68456
3941,3100105,BRIDGEPORT PUBLIC SCHOOLS,0.92,69336
3942,3100109,SOUTHERN VALLEY SCHOOLS,1.0,68967
3943,3100110,SOUTH PLATTE PUBLIC SCHOOLS,0.77,69122
3944,3100111,EUSTIS-FARNAM PUBLIC SCHOOLS,0.8,69028
3945,3100112,LAKEVIEW COMMUNITY SCHOOLS,0.97,68601
3946,3100114,LOGAN VIEW PUBLIC SCHOOLS,0.98,68031
3947,3100115,NORTH BEND CENTRAL PUBLIC SCHS,1.0,68649
3948,3100116,FREEMAN PUBLIC SCHOOLS,0.84,68301
3949,3100117,HEARTLAND COMMUNITY SCHOOLS,1.0,68371
3950,3100118,FILLMORE CENTRAL PUBLIC SCHS,0.87,68361
3951,3100119,NEBRASKA UNIFIED DISTRICT 1,0.92,68764
3952,3100120,HITCHCOCK CO SCH SYSTEM,0.8,69044
3953,3100121,DONIPHAN-TRUMBULL PUBLIC SCHS,0.88,68832
3954,3100122,SOUTH CENTRAL NEBRASKA UNIFIED 5,0.98,68938
3955,3100123,HIGH PLAINS COMMUNITY SCHOOLS,0.95,68654
3956,3100124,BRUNING-DAVENPORT UNIFIED SYS,1.0,68335
3957,3100125,DILLER-ODELL PUBLIC SCHOOLS,0.95,68415
3958,3100129,TWIN RIVER PUBLIC SCHOOLS,0.77,68640
3959,3100130,CROSS COUNTY COMMUNITY SCHOOLS,0.97,68666
3960,3100132,THAYER CENTRAL COMMUNITY SCHS,0.85,68370
3961,3100133,EXETER-MILLIGAN PUBLIC SCHOOLS,1.0,68351
3962,3100134,WILCOX-HILDRETH PUBLIC SCHOOLS,1.0,68982
3963,3100140,CREEK VALLEY SCHOOLS,0.87,69129
3964,3100141,EMERSON-HUBBARD PUBLIC SCHOOLS,1.0,68733
3965,3100157,PERKINS COUNTY SCHOOLS,0.97,69140
3966,3100163,CHASE COUNTY SCHOOLS,0.92,69033
3967,3100165,DOUGLAS CO WEST COMMUNITY SCHS,0.99,68064
3968,3100170,GORDON-RUSHVILLE PUBLIC SCHS,0.94,69343
3969,3100172,WEST HOLT PUBLIC SCHOOLS,0.93,68713
3970,3100176,JOHNSON CO CENTRAL PUBLIC SCHS,0.9,68450
3971,3100178,SOUTHWEST PUBLIC SCHOOLS,1.0,69020
3972,3100179,HUMBOLDT TABLE ROCK STEINAUER,0.91,68376
3973,3100183,HOWELLS-DODGE CONSOLIDATED SCHOOLS,0.96,68641
3974,3100184,RIVERSIDE PUBLIC SCHOOLS,0.89,68665
3975,3100185,CENTRAL VALLEY PUBLIC SCHOOLS,0.93,68842
3976,3100187,BOYD COUNTY SCHOOLS,1.0,68777
3977,3101992,ELMWOOD-MURDOCK PUBLIC SCHOOLS,0.95,68407
3978,3102770,ADAMS CENTRAL PUBLIC SCHOOLS,1.0,68902
3979,3102790,AINSWORTH COMMUNITY SCHOOLS,0.92,69210
3980,3102820,BOONE CENTRAL SCHOOLS,1.0,68620
3981,3102880,ALLEN CONSOLIDATED SCHOOLS,0.93,68710
3982,3102910,ALLIANCE PUBLIC SCHOOLS,0.83,69301
3983,3103060,ANSLEY PUBLIC SCHOOLS,1.0,68814
3984,3103090,ARAPAHOE PUBLIC SCHOOLS,1.0,68922
3985,3103130,ARLINGTON PUBLIC SCHOOLS,0.98,68002
3986,3103330,AUBURN PUBLIC SCHOOLS,0.92,68305
3987,3103360,AURORA PUBLIC SCHOOLS,0.97,68818
3988,3103420,AXTELL COMMUNITY SCHOOLS,0.95,68924
3989,3103440,BANCROFT-ROSALIE COMM SCHOOLS,1.0,68004
3990,3103540,BATTLE CREEK PUBLIC SCHOOLS,0.95,68715
3991,3103600,BEATRICE PUBLIC SCHOOLS,0.87,68310
3992,3103810,BELLEVUE PUBLIC SCHOOLS,0.94,68005
3993,3103990,BENNINGTON PUBLIC SCHOOLS,0.98,68007
3994,3104020,BERTRAND PUBLIC SCHOOLS,0.95,68927
3995,3104100,BLAIR COMMUNITY SCHOOLS,0.96,68008
3996,3104140,BLOOMFIELD COMMUNITY SCHOOLS,0.94,68718
3997,3104200,BLUE HILL PUBLIC SCHOOLS,1.0,68930
3998,3104290,BRADY PUBLIC SCHOOLS,0.92,69123
3999,3104640,BURWELL PUBLIC SCHOOLS,0.92,68823
4000,3104870,CEDAR BLUFFS PUBLIC SCHOOLS,0.94,68015
4001,3104920,CENTRAL CITY PUBLIC SCHOOLS,0.96,68826
4002,3104950,RAYMOND CENTRAL PUBLIC SCHOOLS,0.96,68428
4003,3104980,CHADRON PUBLIC SCHOOLS,0.96,69337
4004,3105280,CODY-KILGORE PUBLIC SCHS,0.94,69211
4005,3105340,COLUMBUS PUBLIC SCHOOLS,0.9,68602
4006,3105460,COZAD COMMUNITY SCHOOLS,0.97,69130
4007,3105520,CRAWFORD PUBLIC SCHOOLS,0.86,69339
4008,3105550,CREIGHTON COMMUNITY PUBLIC SCHOOLS,0.93,68729
4009,3105630,CROFTON COMMUNITY SCHOOLS,0.96,68730
4010,3105910,DESHLER PUBLIC SCHOOLS,1.0,68340
4011,3105970,TRI COUNTY PUBLIC SCHOOLS,0.91,68341
